inn,year,revenue
5038038838,2023,108966.0
5038038838,2021,184044.0
5038038838,2024,112540.0
5038038838,2022,118633.0
5038038838,2025,140064.0
5027006369,2022,683396.0
5027006369,2025,1287757.0
5027006369,2024,429496.0
5027006369,2021,584219.0
5027006369,2023,1565001.0
1414006922,2021,685315.0
1414006922,2025,1927383.0
1414006922,2024,1107569.0
1414006922,2023,1002486.0
1414006922,2022,938983.0
3327332190,2024,1297470.0
3327332190,2023,1031417.0
3327332190,2022,458713.0
3327332190,2021,584483.0
3327332190,2025,1158867.0
7816061297,2023,116186.0
7816061297,2022,61921.0
7816061297,2021,179874.0
7816061297,2025,288686.0
7816061297,2024,782668.0
3525048992,2021,174460.0
3525048992,2023,1838703.0
3525048992,2025,1487117.0
3525048992,2024,1230865.0
3525048992,2022,332866.0
3101000612,2021,10052.0
3101000612,2024,90288.0
3101000612,2025,743.0
3101000612,2023,120415.0
3101000612,2022,11618.0
5902126804,2021,43676.0
5902126804,2024,145548.0
5902126804,2023,67038.0
5902126804,2022,52842.0
5902126804,2025,28251.0
523005733,2025,36114.0
523005733,2023,29865.0
523005733,2022,188416.0
523005733,2024,91703.0
523005733,2021,64542.0
7724745755,2024,1871289.0
7724745755,2023,1129443.0
7724745755,2025,1384301.0
7724745755,2021,257980.0
7724745755,2022,293310.0
504007693,2023,546027.0
504007693,2025,8229.0
504007693,2024,14446.0
504007693,2021,33431.0
504007693,2022,17729.0
2901030646,2023,750704.0
2901030646,2021,1030543.0
2901030646,2024,10902.0
2901030646,2022,1801626.0
2901030646,2025,2200.0
7709008852,2022,975011.0
7709008852,2024,181368.0
7709008852,2021,2869295.0
7709008852,2023,1152402.0
7709008852,2025,14816.0
3811167535,2021,394243.0
3811167535,2025,325013.0
3811167535,2022,259740.0
3811167535,2023,354342.0
3811167535,2024,336907.0
7810255553,2024,2929335.0
7810255553,2025,0.0
7810255553,2022,58676.0
7810255553,2023,316038.0
7810255553,2021,117439.0
1011005108,2025,95849.0
1011005108,2021,111822.0
1011005108,2024,101840.0
1011005108,2022,96815.0
1011005108,2023,95063.0
2310111297,2025,387481.0
2310111297,2021,363535.0
2310111297,2023,211510.0
2310111297,2024,165862.0
2310111297,2022,15542.0
3250057750,2024,0.0
3250057750,2021,3423.0
3250057750,2022,26456.0
3250057750,2025,750.0
3250057750,2023,6646.0
7703595570,2025,2128917.0
7703595570,2024,1166238.0
7703595570,2021,1043523.0
7703595570,2022,1258495.0
7703595570,2023,428084.0
7813059155,2021,
7743373485,2025,0.0
7743373485,2022,199800.0
7743373485,2024,144265.0
7743373485,2023,69256.0
3328412522,2022,249303.0
3328412522,2025,886134.0
3328412522,2024,1123733.0
3328412522,2023,593130.0
3328412522,2021,158481.0
7728135831,2024,539380.0
7728135831,2021,406098.0
7728135831,2022,587933.0
7728135831,2023,1180035.0
2465006513,2024,61417.0
2465006513,2022,64565.0
2465006513,2025,54883.0
2465006513,2023,82129.0
2465006513,2021,76412.0
5902115094,2021,97279.0
5902115094,2022,165505.0
5902115094,2025,359540.0
5902115094,2024,88109.0
5902115094,2023,112635.0
2539030721,2025,28228.0
2539030721,2021,338042.0
2539030721,2023,132133.0
2539030721,2024,298305.0
2539030721,2022,364002.0
7704697207,2022,0.0
7704697207,2024,2.0
7704697207,2025,0.0
7704697207,2023,
7704697207,2021,99755.0
5000000218,2025,130823.0
5000000218,2024,129159.0
5000000218,2021,508680.0
5000000218,2023,59414.0
5000000218,2022,136519.0
6731010189,2025,21147.0
6731010189,2023,23332.0
6731010189,2022,52547.0
6731010189,2021,47954.0
6731010189,2024,27115.0
5044125655,2024,3337029.0
5044125655,2023,3724263.0
5044125655,2022,1943311.0
5044125655,2025,2161905.0
7743356592,2022,193778.0
7743356592,2021,2071.0
2508045333,2021,125292.0
2508045333,2025,37430.0
2508045333,2024,48889.0
2508045333,2023,55704.0
2508045333,2022,34425.0
7814027004,2021,186651.0
7814027004,2023,226298.0
7814027004,2024,46839.0
7814027004,2022,399609.0
5025012896,2025,
5025012896,2021,937.0
5025012896,2023,1353.0
5025012896,2024,0.0
5025012896,2022,4312.0
3123040930,2024,46761.0
3123040930,2022,4987.0
3123040930,2025,105596.0
3123040930,2023,222337.0
3123040930,2021,149060.0
7714046959,2021,462493.0
7714046959,2022,51080.0
7714046959,2025,21966.0
7714046959,2023,174384.0
7714046959,2024,80532.0
5263001814,2022,49923.0
5263001814,2025,94099.0
5263001814,2023,88392.0
5263001814,2021,117318.0
5263001814,2024,98400.0
6450042805,2021,3493.0
6450042805,2022,104839.0
6450042805,2024,416593.0
6450042805,2025,324519.0
6450042805,2023,225684.0
2466000401,2024,22213.0
2466000401,2025,55954.0
2466000401,2021,54855.0
2466000401,2023,37878.0
2466000401,2022,50728.0
6013000288,2021,8585.0
6013000288,2024,8771.0
6013000288,2023,8923.0
6013000288,2025,18807.0
6013000288,2022,14397.0
6670160730,2022,1150122.0
6670160730,2021,1179011.0
6670160730,2025,1016525.0
6670160730,2023,1214657.0
6670160730,2024,1520188.0
4006002065,2021,13986.0
4006002065,2025,29947.0
4006002065,2024,15040.0
4006002065,2023,18633.0
4006002065,2022,12262.0
7733799210,2021,135884.0
7733799210,2024,124245.0
7733799210,2025,133656.0
7733799210,2023,162470.0
7733799210,2022,163760.0
1653008582,2023,98207.0
1653008582,2021,23002.0
1653008582,2022,19784.0
1653008582,2025,5591.0
1653008582,2024,34835.0
6517004027,2022,24541.0
6517004027,2024,9022.0
6517004027,2023,23187.0
6517004027,2021,65038.0
2528000926,2024,34778.0
2528000926,2025,33771.0
2528000926,2022,48581.0
2528000926,2023,41504.0
2528000926,2021,39036.0
7705585440,2023,126884.0
7705585440,2021,46126.0
7705585440,2022,133789.0
7705585440,2024,77418.0
7705585440,2025,217255.0
7719243661,2021,85761.0
7719243661,2024,162736.0
7719243661,2025,444171.0
7719243661,2023,67865.0
7719243661,2022,55908.0
7720019008,2025,62289.0
7720019008,2024,96507.0
7720019008,2022,41916.0
7720019008,2021,52340.0
7720019008,2023,79957.0
3906034170,2023,14316.0
3906034170,2025,19295.0
3906034170,2024,16419.0
3906034170,2021,13005.0
3906034170,2022,14222.0
7714406538,2023,249511.0
7714406538,2021,366471.0
7714406538,2022,433034.0
